Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2024-10-09,528.757568359375,529.335734857584,524.6307627639297,525.1889736048291,2941800
2024-10-10,527.8704223632812,529.2061738275828,526.4051416406104,527.5813695185126,3637600
2024-10-11,531.0103759765625,531.7280495663005,527.7009613517915,527.8105957879316,5429200
2024-10-14,535.3564453125,536.2635151196806,532.2662995900162,532.5454354324835,2638900
2024-10-15,531.2794799804688,535.8947125906772,530.1232077908907,535.6654658866346,4811300
2024-10-16,533.5123291015625,534.020711659795,530.521900726474,531.2296573444631,3237200
2024-10-17,533.5921020507812,537.0410847513854,533.4426171331537,536.9015168225951,3225300
2024-10-18,535.6455078125,536.3831370660231,533.8512629827696,535.187014406483,5070400
2024-10-21,534.8181762695312,535.8946866157949,532.0071664623414,535.0075116486187,3671400
2024-10-22,534.4493408203125,535.5658234044022,531.7679209015841,532.4058935666577,3366600
2024-10-23,529.574951171875,533.0138949410021,526.3353206110781,532.5753572103414,5227800
2024-10-24,530.7710571289062,531.4788136856072,528.348817655689,531.4688358574202,4477800
2024-10-25,530.561767578125,535.5458144522435,529.7144431052753,532.9441565856534,4327200
2024-10-28,532.2164916992188,533.8612516501086,531.9672893333519,533.8214011741215,3408000
2024-10-29,533.0637817382812,534.1104194390813,530.053397884559,531.4190218938688,3027600
2024-10-30,531.4588623046875,534.4892017579459,530.8907344976178,532.6450679005793,3067000
2024-10-31,521.0023803710938,527.541447956774,520.8429176282131,527.4019408719113,7972800
2024-11-01,523.26513671875,527.3919422983536,522.8663886166017,523.4844055866387,6106900
2024-11-04,522.1287841796875,524.6009130176544,520.3644728029197,523.384773836641,3681500
2024-11-05,528.4086303710938,528.4784143288566,522.8065664976087,523.0457910154148,3300300
2024-11-06,541.5665283203125,542.4038749759973,536.4528912927525,539.921829334399,7483300
2024-11-07,545.7830810546875,546.7300013142087,543.4106698108061,543.4803929293753,6051300
2024-11-08,548.1953735351562,549.4812358332839,546.3113890580415,546.3213668870877,6798000
2024-11-11,548.6439208984375,549.9696336021082,547.0988176482117,549.6706029486644,4893100
2024-11-12,546.9991455078125,549.1821604765765,544.6865404528339,548.6339274874309,4818600
2024-11-13,547.2783203125,549.1223934547061,545.2248344432904,547.4078495675233,3701600
2024-11-14,543.7993774414062,547.8165485213989,543.1415100080756,547.3480164670125,3940300
2024-11-15,536.7818603515625,540.8388818987095,535.0374439065946,540.400283330358,7360100
2024-11-18,539.0047607421875,540.2009442642809,536.4330361361713,537.2005380501739,4504200
2024-11-19,540.968505859375,541.6363511619476,535.1870231621386,535.785084501693,6978400
2024-11-20,541.1678466796875,541.3372872420837,535.7252454623543,541.0482344191234,3949100
2024-11-21,543.8991088867188,545.3245390626436,538.3169396062851,543.8393027548764,4530600
2024-11-22,545.7232055664062,546.3013720458322,543.6299301911429,544.0785065831041,5574600
2024-11-25,547.4776000976562,550.6175740025551,545.4541086792677,549.4413462268642,4305000
2024-11-26,550.5477905273438,551.0561730495747,548.0956175308719,548.7435679690911,4438600
2024-11-27,548.7933959960938,550.6175742101235,547.3579880448013,550.2786322486667,3312200
2024-11-29,551.6842041015625,552.9302159181979,549.3117927354551,549.531061611781,3988700
2024-12-02,553.2391967773438,553.7974076096934,552.1227751126444,552.5912463288943,5441000
2024-12-03,553.3687744140625,553.6578272320256,552.0230452453557,553.0298324547124,4202900
2024-12-04,556.8576049804688,557.0968294964871,554.3954541822116,555.0533824416782,5490300
2024-12-05,555.9306030273438,557.6251303674743,555.6814006725695,556.8476506575961,3021600
2024-12-06,557.0370483398438,558.1734256822916,556.2994191022467,556.6881285379945,5134900
2024-12-09,554.1362915039062,557.0868692555872,553.6080141544239,556.9274065200127,4412300
2024-12-10,552.5614013671875,555.1032533054051,551.8038164480969,554.8042226374538,4110100
2024-12-11,556.7479858398438,557.6052273259228,554.8838962804418,555.1430764600511,3514400
2024-12-12,553.877197265625,556.4190492043889,553.8472637786131,555.890710990544,4048600
2024-12-13,553.8372802734375,556.3791321861504,552.4318057279581,555.7312425521602,4666900
2024-12-16,556.0103149414062,557.0171022090175,554.6446908775436,555.3524474816118,22846800
2024-12-17,553.6777954101562,554.614798683178,552.5214624313203,553.6976902267446,6110900
2024-12-18,537.4198608398438,555.7512012053897,536.811821677763,553.5282747630298,24584900
2024-12-19,537.220458984375,543.3607781016153,536.9314061617245,541.9553036212847,16792100
2024-12-20,543.3009643554688,547.7866065801882,534.1402836895918,534.8978685553443,9389400
2024-12-23,547.1900024414062,547.3599853515625,540.3200073242188,543.3099975585938,7063400
2024-12-24,552.8200073242188,552.9000244140625,547.5399780273438,548.0599975585938,3439300
2024-12-26,552.8099975585938,553.969970703125,549.9199829101562,551.2000122070312,4492000
2024-12-27,547.0800170898438,549.6199951171875,543.2000122070312,549.3699951171875,7077100
2024-12-30,540.989990234375,544.0900268554688,537.4000244140625,540.5599975585938,6505100
2024-12-31,538.8099975585938,543.0700073242188,537.4000244140625,542.4500122070312,6040800
